                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.68908,                 1.9841,                 0.9898,                0.33307,                0.93343,                0.53642,                0.44796,                0.70994,                 2.3513,                 1.0517,              0.0003466,              0.0003466,              0.0003466
                     36,                0.69958,                 1.7941,                 1.0139,                0.33814,                 0.7512,                0.56148,                0.46396,                0.72487,                 2.4526,                 1.0555,              0.0003268,              0.0003268,              0.0003268
                     37,                0.66588,                 1.8539,                0.96283,                0.33015,                0.82846,                0.58106,                0.48621,                0.73329,                  2.407,                 1.0582,               0.000307,               0.000307,               0.000307
                     38,                 0.6903,                 1.9277,                0.96332,                 0.3292,                0.92386,                 0.5548,                0.46574,                0.73675,                 2.3553,                 1.0548,              0.0002872,              0.0002872,              0.0002872
                     39,                0.62481,                 1.7988,                0.92483,                0.35171,                0.79605,                 0.5837,                0.50976,                 0.7309,                 2.3393,                 1.0507,              0.0002674,              0.0002674,              0.0002674
                     40,                0.72667,                 1.8693,                0.98943,                0.48014,                0.85601,                0.58085,                0.49659,                0.71233,                 2.3373,                 1.0428,              0.0002476,              0.0002476,              0.0002476
                     41,                0.56564,                 2.0544,                0.97827,                 0.4651,                0.84813,                0.59915,                0.51314,                0.69691,                 2.3283,                 1.0301,              0.0002278,              0.0002278,              0.0002278
                     42,                0.55234,                   2.11,                0.96257,                0.43076,                0.78181,                0.56751,                0.47916,                0.68431,                 2.3905,                 1.0201,               0.000208,               0.000208,               0.000208
                     43,                0.55249,                 2.0469,                0.97168,                0.38316,                0.71029,                0.61047,                0.52517,                0.68418,                 2.4249,                 1.0199,              0.0001882,              0.0001882,              0.0001882
                     44,                0.56028,                   2.05,                0.95744,                0.36747,                0.75463,                0.61585,                0.52446,                0.66686,                 2.3627,                 1.0105,              0.0001684,              0.0001684,              0.0001684
                     45,                  0.538,                 1.9908,                0.92276,                0.41471,                0.56944,                0.57789,                0.49916,                0.66176,                 2.3191,                 1.0057,              0.0001486,              0.0001486,              0.0001486
                     46,                0.54252,                 1.9356,                 0.9205,                0.64503,                0.68056,                0.61096,                0.52682,                0.66796,                 2.2868,                 1.0055,              0.0001288,              0.0001288,              0.0001288
                     47,                0.55563,                 1.9819,                0.96299,                0.64586,                0.68056,                0.60647,                0.52494,                 0.6723,                 2.2892,                 1.0074,               0.000109,               0.000109,               0.000109
                     48,                0.54036,                  1.911,                   0.97,                0.38986,                  0.625,                0.56741,                0.48959,                 0.6749,                 2.2843,                 1.0113,               8.92e-05,               8.92e-05,               8.92e-05
                     49,                0.50759,                 1.8042,                0.92934,                0.44985,                0.70067,                0.56336,                0.48881,                0.67305,                 2.2791,                 1.0131,               6.94e-05,               6.94e-05,               6.94e-05
                     50,                0.54985,                 1.9037,                0.91004,                0.46406,                0.71272,                0.55959,                 0.4855,                0.66857,                 2.2672,                 1.0126,               4.96e-05,               4.96e-05,               4.96e-05
